"filename", "language", "JSON", "XML", "Java Properties", "Groovy", "Markdown", "Java", "Ini", "comment", "blank", "total"
"c:\Users\aaron\OneDrive\Desktop\smqa\job_application\src\main\java\com\jobfinder\utils\JobPortalFAQ.java", "Java", 0, 0, 0, 0, 0, 29, 0, 5, 16, 50
"c:\Users\aaron\OneDrive\Desktop\smqa\job_application\src\main\java\com\jobfinder\utils\JsonFileHandler.java", "Java", 0, 0, 0, 0, 0, 297, 0, 73, 53, 423
"c:\Users\aaron\OneDrive\Desktop\smqa\job_application\src\main\java\com\jobfinder\utils\Validations.java", "Java", 0, 0, 0, 0, 0, 38, 0, 11, 16, 65
"c:\Users\aaron\OneDrive\Desktop\smqa\job_application\src\main\resources\users.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\aaron\OneDrive\Desktop\smqa\job_application\src\test\resources\test_employers.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\aaron\OneDrive\Desktop\smqa\job_application\src\test\resources\test_interviews.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\aaron\OneDrive\Desktop\smqa\job_application\src\test\resources\test_job_seekers.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\aaron\OneDrive\Desktop\smqa\job_application\src\test\resources\test_jobapplication.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\aaron\OneDrive\Desktop\smqa\job_application\src\test\resources\test_jobs.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\aaron\OneDrive\Desktop\smqa\job_application\src\test\resources\test_users.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\aaron\OneDrive\Desktop\smqa\job_application\users.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 108, 96, 0, 18, 1, 5297, 3, 447, 1335, 7305
